"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","BP","GO:0007409","axonogenesis","94/1636","483/21288",3.06737617351256e-17,1.80392392764274e-13,1.55176946209488e-13,"ENSG00000117298/ENSG00000173406/ENSG00000117600/ENSG00000162631/ENSG00000162761/ENSG00000120332/ENSG00000116147/ENSG00000121454/ENSG00000162946/ENSG00000143869/ENSG00000179915/ENSG00000170340/ENSG00000066032/ENSG00000118257/ENSG00000144619/ENSG00000154764/ENSG00000077097/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000080224/ENSG00000082701/ENSG00000160145/ENSG00000154928/ENSG00000145147/ENSG00000163697/ENSG00000145242/ENSG00000018189/ENSG00000182168/ENSG00000129116/ENSG00000214944/ENSG00000092421/ENSG00000053108/ENSG00000184347/ENSG00000112715/ENSG00000196569/ENSG00000111962/ENSG00000146426/ENSG00000214960/ENSG00000106571/ENSG00000158321/ENSG00000170381/ENSG00000075213/ENSG00000189056/ENSG00000091129/ENSG00000221866/ENSG00000132561/ENSG00000147862/ENSG00000187764/ENSG00000106689/ENSG00000136830/ENSG00000148357/ENSG00000065675/ENSG00000099250/ENSG00000148498/ENSG00000185532/ENSG00000151150/ENSG00000066468/ENSG00000171533/ENSG00000182704/ENSG00000149972/ENSG00000177103/ENSG00000154133/ENSG00000166159/ENSG00000151490/ENSG00000018236/ENSG00000139174/ENSG00000066084/ENSG00000186908/ENSG00000136040/ENSG00000132932/ENSG00000133083/ENSG00000021645/ENSG00000185070/ENSG00000273749/ENSG00000137872/ENSG00000196470/ENSG00000140937/ENSG00000007168/ENSG00000065320/ENSG00000184009/ENSG00000170558/ENSG00000141622/ENSG00000171791/ENSG00000105426/ENSG00000105649/ENSG00000160460/ENSG00000125753/ENSG00000132639/ENSG00000101144/ENSG00000179242/ENSG00000142192/ENSG00000156299/ENSG00000171587",94
"GO:0007411","BP","GO:0007411","axon guidance","57/1636","247/21288",3.46248365387596e-14,6.78762212281485e-11,5.83884085632557e-11,"ENSG00000117298/ENSG00000162761/ENSG00000116147/ENSG00000121454/ENSG00000143869/ENSG00000179915/ENSG00000170340/ENSG00000118257/ENSG00000144619/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000080224/ENSG00000160145/ENSG00000154928/ENSG00000145147/ENSG00000163697/ENSG00000145242/ENSG00000182168/ENSG00000129116/ENSG00000092421/ENSG00000184347/ENSG00000112715/ENSG00000196569/ENSG00000214960/ENSG00000106571/ENSG00000170381/ENSG00000075213/ENSG00000189056/ENSG00000091129/ENSG00000221866/ENSG00000132561/ENSG00000147862/ENSG00000187764/ENSG00000106689/ENSG00000136830/ENSG00000148357/ENSG00000065675/ENSG00000099250/ENSG00000149972/ENSG00000177103/ENSG00000154133/ENSG00000166159/ENSG00000151490/ENSG00000018236/ENSG00000021645/ENSG00000185070/ENSG00000273749/ENSG00000137872/ENSG00000196470/ENSG00000065320/ENSG00000141622/ENSG00000125753/ENSG00000101144/ENSG00000179242/ENSG00000142192/ENSG00000171587",57
"GO:0097485","BP","GO:0097485","neuron projection guidance","57/1636","247/21288",3.46248365387596e-14,6.78762212281485e-11,5.83884085632557e-11,"ENSG00000117298/ENSG00000162761/ENSG00000116147/ENSG00000121454/ENSG00000143869/ENSG00000179915/ENSG00000170340/ENSG00000118257/ENSG00000144619/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000080224/ENSG00000160145/ENSG00000154928/ENSG00000145147/ENSG00000163697/ENSG00000145242/ENSG00000182168/ENSG00000129116/ENSG00000092421/ENSG00000184347/ENSG00000112715/ENSG00000196569/ENSG00000214960/ENSG00000106571/ENSG00000170381/ENSG00000075213/ENSG00000189056/ENSG00000091129/ENSG00000221866/ENSG00000132561/ENSG00000147862/ENSG00000187764/ENSG00000106689/ENSG00000136830/ENSG00000148357/ENSG00000065675/ENSG00000099250/ENSG00000149972/ENSG00000177103/ENSG00000154133/ENSG00000166159/ENSG00000151490/ENSG00000018236/ENSG00000021645/ENSG00000185070/ENSG00000273749/ENSG00000137872/ENSG00000196470/ENSG00000065320/ENSG00000141622/ENSG00000125753/ENSG00000101144/ENSG00000179242/ENSG00000142192/ENSG00000171587",57
"GO:0042391","BP","GO:0042391","regulation of membrane potential","82/1636","487/21288",1.11455509122247e-11,1.63867462286983e-08,1.40961888642505e-08,"ENSG00000067606/ENSG00000116288/ENSG00000177301/ENSG00000177807/ENSG00000198929/ENSG00000143473/ENSG00000198626/ENSG00000183023/ENSG00000179915/ENSG00000115353/ENSG00000162989/ENSG00000153253/ENSG00000144285/ENSG00000153823/ENSG00000154764/ENSG00000185313/ENSG00000157388/ENSG00000082701/ENSG00000275163/ENSG00000197584/ENSG00000114279/ENSG00000075711/ENSG00000128052/ENSG00000152208/ENSG00000138814/ENSG00000145362/ENSG00000145349/ENSG00000080709/ENSG00000155511/ENSG00000204767/ENSG00000152822/ENSG00000185345/ENSG00000135218/ENSG00000189056/ENSG00000091129/ENSG00000188037/ENSG00000104765/ENSG00000120907/ENSG00000184156/ENSG00000156049/ENSG00000198785/ENSG00000165995/ENSG00000151150/ENSG00000183230/ENSG00000156113/ENSG00000188916/ENSG00000053918/ENSG00000187486/ENSG00000129159/ENSG00000168959/ENSG00000149403/ENSG00000151067/ENSG00000273079/ENSG00000084112/ENSG00000088986/ENSG00000089041/ENSG00000102452/ENSG00000151320/ENSG00000100433/ENSG00000166206/ENSG00000186297/ENSG00000182256/ENSG00000069869/ENSG00000117971/ENSG00000196557/ENSG00000183454/ENSG00000070729/ENSG00000103335/ENSG00000108405/ENSG00000108684/ENSG00000154864/ENSG00000134755/ENSG00000101489/ENSG00000049759/ENSG00000171791/ENSG00000105143/ENSG00000105662/ENSG00000105464/ENSG00000161681/ENSG00000158445/ENSG00000142192/ENSG00000100346",82
"GO:0016358","BP","GO:0016358","dendrite development","51/1636","262/21288",5.72977789238955e-10,6.73936475702859e-07,5.79732895806825e-07,"ENSG00000173406/ENSG00000162946/ENSG00000171094/ENSG00000066032/ENSG00000138411/ENSG00000144711/ENSG00000154764/ENSG00000082701/ENSG00000154928/ENSG00000154310/ENSG00000138814/ENSG00000169862/ENSG00000053108/ENSG00000112137/ENSG00000124507/ENSG00000112175/ENSG00000135298/ENSG00000146555/ENSG00000002746/ENSG00000075213/ENSG00000257923/ENSG00000189056/ENSG00000046889/ENSG00000169439/ENSG00000132561/ENSG00000164796/ENSG00000153707/ENSG00000187764/ENSG00000198785/ENSG00000136848/ENSG00000183049/ENSG00000099250/ENSG00000185532/ENSG00000107954/ENSG00000171533/ENSG00000139174/ENSG00000133083/ENSG00000150361/ENSG00000152767/ENSG00000273749/ENSG00000069869/ENSG00000007168/ENSG00000141503/ENSG00000049759/ENSG00000105426/ENSG00000161681/ENSG00000101144/ENSG00000184402/ENSG00000142192/ENSG00000156299/ENSG00000171587",51
"GO:0001508","BP","GO:0001508","action potential","37/1636","162/21288",1.43089254749846e-09,1.40251317863974e-06,1.20646834794344e-06,"ENSG00000177301/ENSG00000198929/ENSG00000198626/ENSG00000183023/ENSG00000115353/ENSG00000162989/ENSG00000153253/ENSG00000144285/ENSG00000185313/ENSG00000157388/ENSG00000275163/ENSG00000197584/ENSG00000114279/ENSG00000075711/ENSG00000145362/ENSG00000145349/ENSG00000080709/ENSG00000155511/ENSG00000135218/ENSG00000091129/ENSG00000188037/ENSG00000120907/ENSG00000184156/ENSG00000156049/ENSG00000165995/ENSG00000151150/ENSG00000183230/ENSG00000053918/ENSG00000187486/ENSG00000151067/ENSG00000151320/ENSG00000117971/ENSG00000108405/ENSG00000134755/ENSG00000049759/ENSG00000158445/ENSG00000100346",37
"GO:0010975","BP","GO:0010975","regulation of neuron projection development","76/1636","491/21288",3.32106192326213e-09,2.7901664529578e-06,2.4001539252929e-06,"ENSG00000173406/ENSG00000162631/ENSG00000116473/ENSG00000116132/ENSG00000120332/ENSG00000116147/ENSG00000119283/ENSG00000162946/ENSG00000171094/ENSG00000066032/ENSG00000138411/ENSG00000135916/ENSG00000154764/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000082701/ENSG00000154310/ENSG00000072832/ENSG00000145147/ENSG00000018189/ENSG00000152208/ENSG00000138814/ENSG00000173376/ENSG00000218336/ENSG00000092421/ENSG00000053108/ENSG00000172197/ENSG00000124507/ENSG00000112715/ENSG00000112175/ENSG00000135298/ENSG00000111962/ENSG00000146426/ENSG00000002746/ENSG00000187391/ENSG00000170381/ENSG00000075213/ENSG00000257923/ENSG00000189056/ENSG00000091129/ENSG00000221866/ENSG00000169439/ENSG00000164796/ENSG00000107104/ENSG00000153707/ENSG00000187764/ENSG00000169071/ENSG00000136848/ENSG00000183049/ENSG00000099250/ENSG00000184014/ENSG00000171533/ENSG00000182704/ENSG00000151490/ENSG00000018236/ENSG00000066084/ENSG00000136040/ENSG00000132932/ENSG00000102572/ENSG00000273749/ENSG00000137872/ENSG00000069869/ENSG00000007168/ENSG00000065320/ENSG00000030582/ENSG00000170558/ENSG00000049759/ENSG00000185988/ENSG00000105426/ENSG00000132639/ENSG00000101144/ENSG00000179242/ENSG00000184402/ENSG00000156299/ENSG00000171587",76
"GO:0050919","BP","GO:0050919","negative chemotaxis","18/1636","49/21288",9.1779021844066e-09,6.7469053433119e-06,5.8038155129287e-06,"ENSG00000118257/ENSG00000114251/ENSG00000185008/ENSG00000169855/ENSG00000145147/ENSG00000182168/ENSG00000092421/ENSG00000184347/ENSG00000170381/ENSG00000075213/ENSG00000221866/ENSG00000157168/ENSG00000187764/ENSG00000185737/ENSG00000166159/ENSG00000185070/ENSG00000137872/ENSG00000065320",18
"GO:0050803","BP","GO:0050803","regulation of synapse structure or activity","51/1636","286/21288",1.28641637383126e-08,8.40601632722406e-06,7.23101414343047e-06,"ENSG00000162946/ENSG00000119878/ENSG00000179915/ENSG00000066032/ENSG00000118257/ENSG00000154764/ENSG00000114251/ENSG00000185008/ENSG00000083937/ENSG00000154928/ENSG00000158258/ENSG00000138758/ENSG00000152208/ENSG00000137462/ENSG00000150625/ENSG00000152413/ENSG00000111859/ENSG00000135298/ENSG00000189056/ENSG00000091129/ENSG00000077063/ENSG00000153707/ENSG00000174482/ENSG00000187764/ENSG00000169071/ENSG00000136848/ENSG00000165985/ENSG00000151025/ENSG00000128805/ENSG00000107954/ENSG00000091664/ENSG00000162105/ENSG00000166159/ENSG00000273079/ENSG00000151490/ENSG00000136040/ENSG00000152767/ENSG00000185070/ENSG00000273749/ENSG00000069869/ENSG00000140557/ENSG00000150394/ENSG00000007168/ENSG00000065320/ENSG00000108684/ENSG00000170558/ENSG00000105426/ENSG00000132639/ENSG00000196090/ENSG00000142192/ENSG00000156299",51
"GO:0050807","BP","GO:0050807","regulation of synapse organization","50/1636","279/21288",1.50654280274281e-08,8.44353244057508e-06,7.26328621330133e-06,"ENSG00000162946/ENSG00000119878/ENSG00000179915/ENSG00000066032/ENSG00000118257/ENSG00000154764/ENSG00000114251/ENSG00000185008/ENSG00000083937/ENSG00000154928/ENSG00000158258/ENSG00000138758/ENSG00000152208/ENSG00000137462/ENSG00000150625/ENSG00000152413/ENSG00000111859/ENSG00000135298/ENSG00000189056/ENSG00000091129/ENSG00000077063/ENSG00000153707/ENSG00000174482/ENSG00000187764/ENSG00000169071/ENSG00000136848/ENSG00000165985/ENSG00000151025/ENSG00000128805/ENSG00000107954/ENSG00000162105/ENSG00000166159/ENSG00000273079/ENSG00000151490/ENSG00000136040/ENSG00000152767/ENSG00000185070/ENSG00000273749/ENSG00000069869/ENSG00000140557/ENSG00000150394/ENSG00000007168/ENSG00000065320/ENSG00000108684/ENSG00000170558/ENSG00000105426/ENSG00000132639/ENSG00000196090/ENSG00000142192/ENSG00000156299",50
