"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","37/801","116/8541",8.51993401837228e-12,2.89677756624657e-09,2.20621449317851e-09,"5567/2786/109/3760/3708/2917/776/5530/9456/2890/2911/2792/2918/114/6505/116443/57084/22941/2915/2900/775/2904/54331/255189/115/2903/5338/5578/9229/2788/773/6511/2906/50944/23236/5332/5594",37
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","29/801","97/8541",8.37311371394288e-09,1.42342933137029e-06,1.08409788085787e-06,"5567/9722/2786/6262/109/3760/3708/776/5593/817/2890/2792/114/5592/775/2904/54331/6263/8912/115/2903/5578/2788/2906/23236/5332/3763/5594/8911",29
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","51/801","254/8541",1.00987170222088e-07,1.14452126251699e-05,8.71678732443282e-06,"5567/777/6262/1131/109/6546/3973/6869/2066/3708/776/185/3791/5530/817/814/3360/7422/2911/5137/1956/148/444/114/9630/116443/57118/51196/2263/2915/80310/775/2904/89869/5027/6263/8912/115/2903/5336/5023/489/5578/4772/773/2906/146/23236/5332/4773/8911",51
"hsa04360","Organismal Systems","Development and regeneration","hsa04360","Axon guidance","40/801","184/8541",2.84352432356781e-07,2.41699567503264e-05,1.84080785157284e-05,"5590/110117499/22854/151449/9901/7474/6092/6091/285220/2932/2047/84448/9353/2044/8633/5530/817/5921/57556/22885/6586/9723/10371/2050/91584/10507/8829/56288/7225/81029/57522/10154/54434/80031/5336/9423/5578/4773/655/5594",40
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","25/801","91/8541",5.43320662754138e-07,3.69458050672814e-05,2.81382911657932e-05,"5142/5567/2786/109/3760/50940/5144/8622/10846/5137/2792/5150/114/9568/5138/5139/54331/2562/2558/2567/115/5578/2788/773/3763",25
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","24/801","89/8541",1.32191731735672e-06,7.49086479835477e-05,5.70511684332902e-05,"63923/7143/1285/3680/256076/131873/80144/3381/255743/3672/22987/3908/948/1278/5649/22798/158326/10319/7450/1280/1282/1284/22801/284217",24
"hsa04510","Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","41/801","203/8541",1.57269777916522e-06,7.63881778451677e-05,5.8177993033781e-05,"110117499/5906/63923/7143/1285/3680/2932/256076/131873/3791/5602/3381/3672/896/7422/3908/1956/1278/5649/22798/858/53358/10319/7410/1793/80310/7450/1280/1282/1284/399694/83660/22801/5578/71/284217/596/25759/7408/5594/29780",41
"hsa05412","Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","23/801","86/8541",2.56139860299665e-06,0.000108859440627358,8.2908428465418e-05,"6262/6546/1496/3680/776/55799/3672/6444/3908/8910/137868/783/29119/6934/93589/775/22801/489/786/71/284217/1000/1824",23
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","27/801","116/8541",6.44040838422141e-06,0.000243304316737253,0.000185302978072335,"110117499/5567/2786/1131/109/3760/3708/776/817/814/2792/114/3786/1103/3784/775/54331/1143/115/5578/596/2788/773/23236/5332/3763/5594",27
"hsa04720","Organismal Systems","Nervous system","hsa04720","Long-term potentiation","19/801","67/8541",7.49709509068306e-06,0.000254901233083224,0.000194135304453477,"5567/5906/3708/5530/817/814/2890/2911/114/2915/775/2904/1387/2903/5578/2906/23236/5332/5594",19
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","27/801","130/8541",5.70990376559979e-05,0.00176487934573085,0.00134414959458139,"5590/110117499/5567/2786/109/1285/7048/5602/4790/7422/1956/2792/1278/114/53358/1282/1284/54331/399694/115/4313/5578/25759/2788/23236/5332/5594",27
"hsa05165","Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","53/801","333/8541",7.58725572420746e-05,0.00204156617065679,0.00155487702161477,"5590/110117499/5567/63923/7143/245973/90423/1285/7476/3680/7474/9223/2932/256076/131873/5523/1739/3516/3381/4790/55534/836/7015/3672/5521/8992/896/7422/3908/1956/1021/1278/5649/22798/10319/56288/6934/7481/1740/81029/7450/1280/1282/1284/5527/7187/22801/1387/9368/284217/4600/529/5594",53
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","23/801","105/8541",8.49132719059562e-05,0.00204156617065679,0.00155487702161477,"5567/6262/109/6546/3680/776/55799/3672/6444/3908/8910/137868/114/783/93589/775/7168/22801/115/489/786/71/284217",23
"hsa04921","Organismal Systems","Endocrine system","hsa04921","Oxytocin signaling pathway","30/801","155/8541",9.00690957642703e-05,0.00204156617065679,0.00155487702161477,"5567/6262/109/3760/3708/776/55799/5530/817/814/1956/51422/114/57118/783/93589/775/6263/255189/5607/115/5578/786/71/4772/23236/5332/4773/3763/5594",30
"hsa04934","Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","30/801","155/8541",9.00690957642703e-05,0.00204156617065679,0.00155487702161477,"5567/5906/405/5087/109/50940/3708/7476/776/7474/2932/185/57552/817/8622/1871/1956/1021/114/6934/7481/81029/775/949/8912/115/23236/5332/5594/8911",30
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","20/801","86/8541",0.000101423712904113,0.00211838742330266,0.00161338484870729,"5567/3782/6262/1131/109/776/10242/817/3781/2645/114/3778/3767/775/115/5578/5864/23236/5332/6616",20
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","29/801","149/8541",0.000105919371165133,0.00211838742330266,0.00161338484870729,"5567/2786/109/3760/4705/3708/776/5602/2890/2911/221955/2792/114/57084/2915/775/55967/54331/2562/2558/2567/115/5578/2788/773/23236/5332/3763/5594",29
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","22/801","101/8541",0.00013133827184629,0.00248083402376326,0.00188942777042031,"5590/110117499/1285/7048/185/5602/4790/836/7422/1278/51196/1282/1284/4313/5336/6774/5578/596/4772/23236/5332/5594",22
"hsa04728","Organismal Systems","Nervous system","hsa04728","Dopaminergic synapse","26/801","132/8541",0.000194371326361936,0.00347822373489781,0.00264904965568068,"5567/2786/3760/6323/3708/776/2932/5523/5602/5530/817/5521/2890/2792/406/775/2904/54331/5527/2903/5578/2788/773/23236/5332/3763",26
